"Reference","seq_silkscreen","Qty","Value","seq_partno","Description","seq_socket","seq_purchase_url","Datasheet","DNP","Exclude from BOM","Exclude from Board"
"U7","LS280","1","SN74LS280N","SN74LS280N","LS280 Parity Generator","","https://www.mouser.com/ProductDetail/Texas-Instruments/SN74LS280N?qs=RnzODY3cU8s0sjqFeSi0MQ%3D%3D","http://www.ti.com/lit/gpn/sn74LS280","","",""
"J14","","1","Screw_Terminal_01x02","","Any screw terminal with 5mm pitch","","https://www.mouser.com/ProductDetail/Wurth-Elektronik/691137710002?qs=lBTPRtX1sU9LnHBbviNKGA%3D%3D","https://www.we-online.com/components/products/datasheet/691137710002.pdf","","",""
"J2","","1","PARITY","Pin header, Vertical, 1x3, 2.54mm pitch","Generic 2.54mm 1x3 pin header","","","~","","",""
"U9","MEMD","1","PAL20L10","","Programmable Array Logic (PAL), Active-Low Combinatorial, DIP-24","DIP-24","","https://rocelec.widen.net/view/pdf/pn0qtf2whd/VANTS00076-1.pdf","","",""
"U10","RTC","1","PAL16R4","","Programmable Array Logic (PAL), Active-Low Combinatorial, DIP-20 / PLCC-20","DIP-20","","https://www.alldatasheet.com/datasheet-pdf/download/55543/AMD/PAL16R4.html","","",""
"U8","MM58167","1","MM58167","MM58167AN /B8348","Microprocessor Real Time Clock, CMOS","DIP-24","https://www.ebay.com/sch/i.html?_nkw=MM58167AN","https://www.futurlec.com/Others/MM58167AN.shtml","","",""
"U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64","","54","MK4564","Mostek MK4564N-20","65536 x 1 bit Dynamic RAM, 120/150ns access time, single 5V ±10% power supply, TTL compatible inputs, DIP-16 (Epoxy/Plastic package)","DIP-16","https://www.electronicsurplus.com/mostek-mk4564n15-ic-memory-dram-64k-x-1","https://www.minuszerodegrees.net/memory/4164/datasheet_MK4564-15_and_MK4564-20.pdf","","",""
"J13","","1","Expansion Header J13","Pin header, Vertical, 2x17, 2.54mm pitch","Seequa Chameleon Expansion Header J13 - Signal Pins","","","~","","",""
"J12","","1","Expansion Header J12","Pin header, Vertical,  2x17, 2.54mm pitch","Seequa Chameleon Expansion Header J12 - Data and Address pins","","","~","","",""
"U6","LS245","1","74LS245","SN74LS245N","Octal BUS Transceivers, 3-State outputs","DIP-20","https://www.mouser.com/ProductDetail/Texas-Instruments/SN74LS245N?qs=tJ5HNKWh3OU3CUIGSPX6%2Fg%3D%3D","http://www.ti.com/lit/gpn/sn74LS245","","",""
"U2","LS244","1","74LS244","Mitsubishi M74LS244P ","Octal Buffer and Line Driver With 3-State Output, active-low enables, non-inverting outputs","DIP-20","https://www.mouser.com/ProductDetail/Texas-Instruments/SN74LS244N?qs=5WY7Uqh921ypecHduhX%252BiA%3D%3D","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf","","",""
"U1","LS107","1","74LS107","Mitsubishi M74LS107AP 812600","Dual JK Flip-Flop, reset","DIP-14","https://www.mouser.com/ProductDetail/Texas-Instruments/SN74LS107AN?qs=HE9hdJajmepydgZvtE%2FvQg%3D%3D","http://www.ti.com/lit/gpn/sn74LS107","","",""
"U5","LS08","1","74LS08","Mitsubishi M74LS08P 831300","Quad And2","DIP-14","https://www.mouser.com/ProductDetail/Texas-Instruments/SN74LS08N?qs=spW5eSrOWB4y5MjcKVGhlA%3D%3D","http://www.ti.com/lit/gpn/sn74LS08","","",""
"U3,U4","F157","2","74F157","74F157N K8351","Quad 2 to 1 line Multiplexer","DIP-16","https://www.mouser.com/ProductDetail/Texas-Instruments/SN74F157AN?qs=vxEfx8VrU7BliUyB%2F82ugg%3D%3D","https://www.ti.com/lit/ds/symlink/sn74f157a.pdf?ts=1772755109970","","",""
